Amar_DN100023_c0_g1	Pele_DN144895_c2_g1
Amar_DN60176_c2_g3	Pele_DN152562_c1_g5
Amar_DN60198_c0_g1	Pdum_DN238112_c0_g1
Amar_DN60199_c0_g1	Pdum_DN162986_c0_g1
Amar_DN60199_c0_g1	Pele_DN157481_c0_g1
Amar_DN60267_c4_g5	Pdum_DN234885_c0_g1
Amar_DN60313_c0_g6	Pdum_DN142791_c0_g1
Amar_DN60313_c0_g6	Pele_DN105387_c0_g1
Amar_DN60313_c0_g6	Pele_DN105387_c0_g1
Amar_DN60335_c2_g9	Pele_DN121075_c0_g4
Amar_DN60370_c0_g1	Pele_DN77344_c0_g1
Amar_DN60374_c1_g5	Pdum_DN29675_c0_g1
Amar_DN60392_c2_g5	Pele_DN31763_c0_g1
Amar_DN60413_c3_g2	Pdum_DN108232_c0_g1
Amar_DN60471_c1_g1	Pele_DN26590_c1_g1
Amar_DN60520_c1_g5	Pele_DN198756_c0_g1
Amar_DN60566_c1_g1	Pele_DN24760_c0_g1
Amar_DN60566_c2_g3	Pele_DN100464_c0_g2
Amar_DN60604_c0_g3	Pdum_DN245598_c0_g1
Amar_DN60604_c0_g3	Pele_DN81394_c0_g1
Amar_DN60610_c0_g3	Pele_DN107231_c0_g1
Amar_DN60611_c0_g4	Pdum_DN187114_c0_g1
Amar_DN60611_c0_g4	Pele_DN94247_c0_g1
Amar_DN60619_c2_g1	Pdum_DN127529_c0_g1
Amar_DN60619_c2_g1	Pele_DN312753_c0_g1
Amar_DN60619_c3_g5	Pdum_DN24571_c0_g1
Amar_DN60619_c3_g5	Pele_DN124270_c0_g1
Amar_DN60627_c3_g4	Pele_DN91834_c0_g1
Amar_DN60651_c0_g6	Pele_DN131872_c2_g1
Amar_DN60674_c0_g1	Pdum_DN6807_c0_g1
Amar_DN60698_c2_g1	Pdum_DN164100_c0_g1
Amar_DN60698_c2_g1	Pele_DN35191_c0_g1
Amar_DN60710_c0_g1	Pdum_DN22175_c0_g1
Amar_DN60710_c0_g2	Pele_DN148165_c0_g7
Amar_DN60712_c5_g22	Pele_DN360063_c0_g1
Amar_DN60721_c1_g3	Pele_DN132916_c0_g2
Amar_DN60734_c1_g2	Pdum_DN48862_c2_g1
Amar_DN60749_c3_g13	Pele_DN34388_c0_g1
Amar_DN60749_c3_g13	Pele_DN34388_c0_g1
Amar_DN60750_c0_g8	Pdum_DN169267_c0_g1
Amar_DN60751_c0_g10	Pele_DN17079_c0_g1
Amar_DN60751_c0_g10	Pele_DN17079_c0_g2
Amar_DN60769_c4_g12	Pele_DN131688_c0_g1
Amar_DN60769_c4_g12	Pele_DN131688_c0_g1
Amar_DN60769_c4_g12	Pele_DN131688_c0_g1
Amar_DN60769_c4_g12	Pele_DN131688_c0_g1
Amar_DN60793_c0_g1	Pele_DN198647_c0_g2
Amar_DN60793_c0_g5	Pdum_DN109620_c0_g1
Amar_DN60796_c0_g1	Pdum_DN32538_c0_g1
Amar_DN60818_c5_g4	Pdum_DN255687_c0_g1
Amar_DN60885_c0_g2	Pele_DN144019_c0_g1
Amar_DN60902_c2_g1	Pdum_DN6939_c1_g1
Amar_DN60902_c2_g5	Pdum_DN6939_c1_g1
Amar_DN61014_c0_g1	Pdum_DN114329_c0_g1
Amar_DN61014_c0_g1	Pele_DN114317_c0_g1
Amar_DN61023_c1_g3	Pdum_DN71181_c0_g1
Amar_DN61023_c1_g3	Pdum_DN71181_c0_g1
Amar_DN61023_c1_g3	Pele_DN32149_c0_g1
Amar_DN61023_c1_g3	Pele_DN32149_c0_g2
Amar_DN61086_c4_g1	Pele_DN112081_c0_g2
Amar_DN61086_c4_g1	Pdum_DN30550_c1_g1
Amar_DN61086_c4_g1	Pele_DN112081_c0_g1
Amar_DN61117_c3_g1	Pele_DN130712_c0_g2
Amar_DN61153_c5_g4	Pdum_DN144159_c0_g1
Amar_DN61153_c5_g4	Pele_DN125603_c0_g1
Amar_DN61170_c1_g1	Pele_DN143612_c3_g8
Amar_DN61175_c3_g1	Pdum_DN150887_c0_g1
Amar_DN61191_c1_g4	Pele_DN102503_c0_g1
Amar_DN61224_c4_g1	Pdum_DN164100_c0_g1
Amar_DN61228_c1_g4	Pele_DN342390_c0_g1
Amar_DN61264_c2_g3	Pdum_DN36321_c0_g1
Amar_DN61264_c2_g3	Pele_DN137145_c0_g1
Amar_DN61280_c1_g2	Pele_DN205111_c0_g1
Amar_DN61306_c1_g8	Pdum_DN219066_c0_g1
Amar_DN61306_c1_g8	Pele_DN362079_c0_g1
Amar_DN61316_c3_g4	Pdum_DN109668_c0_g1
Amar_DN61326_c0_g1	Pele_DN148584_c0_g1
Amar_DN61328_c1_g2	Pele_DN118980_c0_g1
Amar_DN61328_c1_g2	Pdum_DN21844_c0_g1
Amar_DN61328_c1_g2	Pdum_DN21844_c0_g1
Amar_DN61328_c1_g2	Pele_DN118980_c0_g1
Amar_DN61349_c0_g2	Pdum_DN163227_c0_g1
Amar_DN61349_c0_g2	Pele_DN98546_c0_g1
Amar_DN61349_c0_g4	Pdum_DN163227_c0_g1
Amar_DN61349_c0_g4	Pele_DN98546_c0_g1
Amar_DN61359_c0_g4	Pele_DN101566_c0_g1
Amar_DN61361_c2_g8	Pdum_DN173533_c0_g1
Amar_DN61361_c2_g8	Pele_DN4041_c0_g1
Amar_DN61373_c4_g2	Pdum_DN59938_c0_g1
Amar_DN61373_c4_g2	Pele_DN120626_c0_g1
Amar_DN61378_c3_g6	Pdum_DN95317_c0_g1
Amar_DN61418_c1_g18	Pdum_DN11038_c1_g1
Amar_DN61418_c1_g5	Pdum_DN11038_c1_g1
Amar_DN61418_c1_g7	Pele_DN145223_c0_g1
Amar_DN61429_c1_g1	Pdum_DN88688_c1_g2
Amar_DN61429_c1_g8	Pdum_DN88688_c1_g2
Amar_DN61466_c0_g1	Pele_DN29498_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61477_c1_g6	Pdum_DN24571_c0_g2
Amar_DN61499_c0_g5	Pdum_DN190264_c0_g1
Amar_DN61521_c3_g2	Pele_DN66026_c0_g1
Amar_DN61527_c0_g2	Pdum_DN94384_c1_g1
Amar_DN61527_c0_g2	Pele_DN111848_c0_g1
Amar_DN61527_c0_g2	Pele_DN111848_c0_g1
Amar_DN61558_c0_g1	Pdum_DN32681_c0_g1
Amar_DN61567_c3_g2	Pdum_DN17616_c0_g2
Amar_DN61567_c3_g2	Pele_DN84037_c0_g1
Amar_DN61571_c2_g4	Pele_DN48593_c0_g1
Amar_DN61622_c2_g16	Pele_DN15515_c0_g1
Amar_DN61631_c1_g2	Pdum_DN21315_c0_g1
Amar_DN61631_c1_g2	Pele_DN152554_c2_g6
Amar_DN61631_c2_g1	Pele_DN132402_c1_g3
Amar_DN61631_c2_g14	Pdum_DN54520_c0_g1
Amar_DN61631_c2_g2	Pele_DN152554_c2_g6
Amar_DN61631_c3_g1	Pdum_DN2820_c1_g1
Amar_DN61647_c0_g1	Pdum_DN144132_c0_g1
Amar_DN61647_c0_g1	Pdum_DN144132_c0_g1
Amar_DN61647_c0_g1	Pdum_DN144132_c0_g1
Amar_DN61658_c1_g6	Pele_DN311116_c0_g1
Amar_DN61717_c0_g13	Pdum_DN67028_c0_g1
Amar_DN61717_c0_g13	Pdum_DN67028_c0_g1
Amar_DN61717_c0_g17	Pdum_DN29687_c0_g1
Amar_DN61717_c0_g17	Pdum_DN29687_c0_g1
Amar_DN61717_c0_g17	Pele_DN8367_c0_g1
Amar_DN61728_c0_g2	Pele_DN105599_c0_g1
Amar_DN61728_c0_g9	Pdum_DN26186_c0_g1
Amar_DN61728_c0_g9	Pele_DN105599_c0_g1
Amar_DN61781_c1_g2	Pele_DN24607_c0_g1
Amar_DN61785_c2_g3	Pdum_DN164302_c0_g1
Amar_DN61785_c2_g3	Pele_DN82262_c0_g1
Amar_DN61814_c5_g1	Pdum_DN17269_c4_g1
Amar_DN61814_c5_g1	Pele_DN102750_c0_g1
Amar_DN61814_c5_g1	Pele_DN102750_c0_g1
Amar_DN61814_c5_g2	Pdum_DN17269_c4_g1
Amar_DN61814_c5_g2	Pele_DN102750_c0_g1
Amar_DN61814_c5_g2	Pele_DN102750_c0_g1
Amar_DN61950_c0_g1	Pdum_DN211646_c0_g1
Amar_DN61966_c2_g6	Pdum_DN63229_c0_g1
Amar_DN61966_c2_g6	Pdum_DN63229_c0_g1
Amar_DN61981_c2_g1	Pdum_DN188271_c0_g1
Amar_DN61981_c2_g1	Pele_DN109018_c0_g1
Amar_DN62042_c1_g11	Pele_DN171764_c0_g1
Amar_DN62098_c0_g1	Pele_DN325050_c0_g1
Amar_DN62107_c0_g1	Pdum_DN5877_c0_g1
Amar_DN62107_c0_g1	Pdum_DN5877_c0_g1
Amar_DN62116_c3_g4	Pdum_DN93996_c0_g1
Amar_DN62121_c1_g15	Pele_DN140929_c0_g8
Amar_DN62121_c1_g4	Pele_DN140929_c0_g3
Amar_DN62121_c1_g6	Pele_DN140929_c0_g4
Amar_DN62140_c0_g1	Pdum_DN29687_c0_g1
Amar_DN62140_c0_g1	Pele_DN99133_c0_g2
Amar_DN62140_c0_g7	Pdum_DN29687_c0_g1
Amar_DN62140_c0_g7	Pdum_DN29687_c0_g1
Amar_DN62140_c0_g7	Pdum_DN29687_c0_g1
Amar_DN62147_c4_g22	Pdum_DN229997_c0_g1
Amar_DN62148_c0_g5	Pele_DN119039_c0_g1
Amar_DN62173_c0_g2	Pdum_DN105312_c0_g1
Amar_DN62173_c0_g2	Pele_DN155524_c1_g3
Amar_DN62173_c0_g2	Pele_DN155524_c1_g3
Amar_DN62175_c0_g1	Pdum_DN4646_c0_g1
Amar_DN62175_c0_g1	Pdum_DN4646_c0_g1
Amar_DN62304_c0_g5	Pdum_DN8191_c0_g1
Amar_DN62304_c0_g6	Pdum_DN8191_c0_g1
Amar_DN62320_c2_g12	Pele_DN157759_c1_g1
Amar_DN62320_c2_g3	Pdum_DN43996_c0_g1
Amar_DN62320_c2_g3	Pele_DN90823_c0_g1
Amar_DN62320_c2_g3	Pdum_DN43996_c0_g1
Amar_DN62320_c2_g8	Pdum_DN21622_c1_g1
Amar_DN62320_c2_g8	Pele_DN142760_c33_g14
Amar_DN62320_c2_g8	Pele_DN142760_c33_g14
Amar_DN62328_c0_g1	Pdum_DN26170_c0_g1
Amar_DN62328_c0_g1	Pele_DN152032_c1_g1
Amar_DN62328_c0_g4	Pele_DN152032_c1_g1
Amar_DN62328_c0_g4	Pele_DN152032_c1_g1
Amar_DN62328_c0_g4	Pele_DN152032_c1_g1
Amar_DN62373_c2_g4	Pdum_DN10657_c0_g2
Amar_DN62373_c2_g8	Pdum_DN10657_c0_g2
Amar_DN62373_c2_g8	Pele_DN140929_c0_g1
Amar_DN62375_c1_g8	Pdum_DN71907_c0_g2
Amar_DN62436_c0_g1	Pele_DN151343_c0_g11
Amar_DN62436_c0_g8	Pele_DN151343_c0_g5
Amar_DN62436_c0_g9	Pele_DN151343_c0_g1
Amar_DN62497_c1_g25	Pele_DN175940_c0_g1
Amar_DN62511_c1_g2	Pdum_DN166783_c0_g1
Amar_DN62511_c1_g2	Pele_DN140644_c0_g1
Amar_DN62534_c4_g4	Pele_DN126379_c0_g1
Amar_DN62542_c2_g4	Pdum_DN30631_c0_g1
Amar_DN62542_c2_g4	Pdum_DN30631_c0_g1
Amar_DN62542_c2_g4	Pdum_DN30631_c0_g1
Amar_DN62542_c2_g4	Pele_DN145070_c1_g1
Amar_DN62550_c2_g9	Pdum_DN258820_c0_g1
Amar_DN62550_c2_g9	Pele_DN117627_c0_g1
Amar_DN62595_c1_g3	Pdum_DN209624_c0_g1
Amar_DN626_c0_g1	Pdum_DN1102_c0_g1
Amar_DN62606_c3_g5	Pele_DN157411_c1_g1
Amar_DN62610_c0_g10	Pele_DN353268_c0_g1
Amar_DN62610_c0_g3	Pdum_DN84718_c0_g1
Amar_DN62610_c0_g5	Pele_DN217170_c0_g1
Amar_DN62622_c2_g3	Pele_DN84080_c0_g1
Amar_DN62739_c3_g1	Pdum_DN36181_c0_g2
Amar_DN62739_c3_g1	Pele_DN57033_c0_g1
Amar_DN62742_c4_g3	Pdum_DN134502_c0_g1
Amar_DN62742_c4_g3	Pele_DN94303_c0_g2
Amar_DN62761_c0_g19	Pdum_DN73217_c0_g1
Amar_DN62761_c0_g19	Pele_DN122469_c0_g1
Amar_DN62761_c0_g22	Pdum_DN73217_c0_g1
Amar_DN62761_c0_g22	Pdum_DN73217_c0_g1
Amar_DN62761_c0_g22	Pele_DN122469_c0_g1
Amar_DN62761_c0_g22	Pele_DN122469_c0_g1
Amar_DN62790_c3_g6	Pdum_DN9251_c12_g1
Amar_DN62790_c3_g6	Pdum_DN9251_c12_g1
Amar_DN62795_c0_g1	Pdum_DN34751_c0_g2
Amar_DN62795_c0_g1	Pele_DN145484_c2_g2
Amar_DN62795_c1_g1	Pele_DN152562_c1_g5
Amar_DN62795_c2_g1	Pele_DN152562_c1_g3
Amar_DN62795_c2_g4	Pele_DN152562_c1_g2
Amar_DN62795_c2_g4	Pdum_DN3551_c1_g1
Amar_DN62795_c2_g5	Pdum_DN3584_c1_g1
Amar_DN62795_c2_g5	Pele_DN152562_c1_g2
Amar_DN62814_c2_g2	Pdum_DN187335_c0_g1
Amar_DN6283_c0_g1	Pdum_DN114037_c1_g1
Amar_DN6283_c0_g1	Pele_DN143482_c1_g1
Amar_DN62851_c2_g1	Pele_DN87148_c0_g1
Amar_DN62879_c5_g10	Pele_DN311116_c0_g1
Amar_DN62905_c1_g7	Pdum_DN44083_c1_g1
Amar_DN62905_c1_g7	Pele_DN104396_c0_g1
Amar_DN62905_c1_g7	Pele_DN104396_c0_g1
Amar_DN62908_c1_g7	Pele_DN350305_c0_g1
Amar_DN62931_c0_g1	Pdum_DN52607_c0_g1
Amar_DN62931_c0_g1	Pele_DN114532_c0_g1
Amar_DN62940_c0_g4	Pdum_DN212420_c0_g1
Amar_DN62940_c0_g4	Pele_DN49846_c0_g1
Amar_DN62974_c2_g4	Pele_DN143612_c3_g6
Amar_DN62997_c2_g1	Pele_DN123842_c0_g1
Amar_DN62999_c1_g21	Pdum_DN48405_c0_g1
Amar_DN63005_c1_g11	Pdum_DN46936_c0_g2
Amar_DN63005_c1_g2	Pdum_DN46936_c0_g2
Amar_DN63005_c1_g2	Pele_DN26069_c0_g1
Amar_DN63009_c3_g7	Pele_DN159760_c4_g6
Amar_DN63012_c1_g5	Pdum_DN24571_c0_g2
Amar_DN63012_c1_g5	Pele_DN120143_c0_g1
Amar_DN63012_c1_g8	Pdum_DN24571_c0_g2
Amar_DN63012_c1_g8	Pele_DN120143_c0_g1
Amar_DN63016_c1_g10	Pele_DN362435_c0_g1
Amar_DN63022_c4_g1	Pele_DN280290_c1_g1
Amar_DN63047_c7_g1	Pele_DN367526_c0_g1
Amar_DN63047_c7_g1	Pele_DN367526_c0_g1
Amar_DN63066_c2_g6	Pele_DN54188_c0_g1
Amar_DN63068_c1_g3	Pdum_DN184943_c0_g1
Amar_DN63079_c1_g4	Pele_DN342429_c0_g1
Amar_DN63081_c1_g10	Pdum_DN7470_c0_g1
Amar_DN63081_c1_g10	Pele_DN149791_c0_g2
Amar_DN63081_c1_g12	Pdum_DN7470_c0_g1
Amar_DN63081_c1_g12	Pele_DN149791_c0_g2
Amar_DN63081_c1_g3	Pdum_DN7470_c0_g1
Amar_DN63081_c1_g3	Pdum_DN7470_c0_g1
Amar_DN63081_c1_g3	Pele_DN149791_c0_g2
Amar_DN63081_c1_g3	Pele_DN149791_c0_g2
Amar_DN63099_c1_g1	Pele_DN134943_c0_g1
Amar_DN63099_c1_g1	Pdum_DN21582_c0_g2
Amar_DN63099_c1_g1	Pele_DN134943_c0_g1
Amar_DN63099_c1_g1	Pele_DN134943_c0_g1
Amar_DN63099_c1_g1	Pele_DN134943_c0_g1
Amar_DN63099_c1_g1	Pele_DN134943_c0_g1
Amar_DN63099_c1_g1	Pele_DN134943_c0_g1
Amar_DN63102_c3_g7	Pdum_DN73217_c0_g1
Amar_DN63102_c3_g7	Pele_DN122469_c0_g1
Amar_DN63136_c0_g1	Pdum_DN47302_c0_g1
Amar_DN63136_c0_g10	Pdum_DN47302_c0_g1
Amar_DN63164_c4_g2	Pele_DN290332_c0_g1
Amar_DN63165_c9_g4	Pdum_DN43872_c0_g4
Amar_DN63165_c9_g4	Pele_DN143612_c3_g3
Amar_DN63189_c1_g2	Pdum_DN8801_c0_g1
Amar_DN63189_c1_g2	Pdum_DN8801_c0_g1
Amar_DN63189_c1_g2	Pele_DN126961_c0_g1
Amar_DN63189_c1_g2	Pele_DN126961_c0_g1
Amar_DN63225_c4_g12	Pele_DN338106_c0_g1
Amar_DN63227_c1_g18	Pdum_DN210428_c0_g1
Amar_DN63242_c0_g1	Pele_DN125289_c0_g1
Amar_DN63242_c0_g4	Pele_DN160631_c7_g13
Amar_DN63245_c6_g7	Pele_DN124348_c0_g1
Amar_DN63267_c2_g6	Pele_DN20680_c0_g1
Amar_DN633_c0_g1	Pele_DN369992_c0_g1
Amar_DN63312_c2_g1	Pdum_DN41784_c0_g1
Amar_DN63312_c2_g1	Pele_DN124358_c0_g1
Amar_DN63334_c1_g5	Pele_DN129959_c0_g2
Amar_DN6334_c0_g1	Pdum_DN1072_c0_g1
Amar_DN6334_c0_g1	Pele_DN77710_c0_g1
Amar_DN63375_c3_g1	Pele_DN195912_c0_g1
Amar_DN63382_c1_g1	Pdum_DN210626_c0_g1
Amar_DN63405_c1_g8	Pele_DN39577_c0_g1
Amar_DN63411_c17_g29	Pdum_DN68926_c0_g1
Amar_DN63411_c17_g37	Pdum_DN24571_c0_g2
Amar_DN63411_c17_g37	Pele_DN143612_c3_g5
Amar_DN63423_c4_g13	Pele_DN26590_c1_g1
Amar_DN63423_c4_g9	Pele_DN26590_c1_g1
Amar_DN63486_c29_g19	Pele_DN109929_c0_g2
Amar_DN63486_c29_g19	Pele_DN109929_c0_g2
Amar_DN63502_c0_g6	Pele_DN325881_c0_g1
Amar_DN63502_c0_g6	Pele_DN325881_c0_g1
Amar_DN63542_c0_g1	Pele_DN91202_c0_g1
Amar_DN63545_c5_g3	Pele_DN296631_c0_g1
Amar_DN63553_c6_g2	Pdum_DN114843_c0_g2
Amar_DN63589_c1_g5	Pdum_DN84492_c0_g1
Amar_DN63589_c2_g4	Pele_DN197418_c0_g1
Amar_DN63617_c13_g15	Pele_DN293933_c0_g1
Amar_DN63617_c13_g23	Pele_DN293933_c0_g1
Amar_DN63620_c11_g18	Pele_DN1853_c0_g1
Amar_DN63621_c20_g13	Pdum_DN236084_c0_g1
Amar_DN63655_c0_g1	Pdum_DN2115_c1_g2
Amar_DN63668_c0_g1	Pele_DN158971_c0_g4
Amar_DN63668_c0_g1	Pele_DN158971_c0_g4
Amar_DN63668_c0_g1	Pele_DN158971_c0_g4
Amar_DN63712_c0_g1	Pele_DN160215_c3_g7
Amar_DN63712_c0_g1	Pele_DN160215_c3_g7
Amar_DN63757_c0_g1	Pdum_DN2735_c0_g1
Amar_DN63757_c0_g1	Pdum_DN2735_c0_g1
Amar_DN63759_c0_g1	Pele_DN152838_c0_g1
Amar_DN63763_c0_g1	Pele_DN152357_c0_g1
Amar_DN63778_c0_g1	Pdum_DN426_c0_g1
Amar_DN63802_c0_g1	Pele_DN160194_c3_g1
Amar_DN63803_c0_g1	Pele_DN94312_c0_g1
Amar_DN63809_c0_g1	Pdum_DN284_c3_g1
Amar_DN63858_c0_g1	Pele_DN151622_c0_g2
Amar_DN63860_c0_g1	Pele_DN197941_c0_g1
Amar_DN63862_c0_g1	Pele_DN101396_c0_g1
Amar_DN63871_c0_g1	Pdum_DN10677_c0_g2
Amar_DN63886_c0_g1	Pele_DN145907_c2_g1
Amar_DN63887_c0_g1	Pele_DN153794_c0_g2
Amar_DN63887_c0_g1	Pele_DN153794_c0_g2
Amar_DN63939_c0_g1	Pele_DN138690_c0_g1
Amar_DN63958_c0_g1	Pdum_DN1833_c0_g1
Amar_DN63959_c0_g1	Pdum_DN232400_c0_g1
Amar_DN63959_c0_g1	Pele_DN154648_c0_g3
Amar_DN63995_c0_g1	Pele_DN134512_c0_g2
Amar_DN63995_c0_g1	Pele_DN134512_c0_g2
Amar_DN64004_c0_g1	Pele_DN158971_c0_g4
Amar_DN6402_c0_g1	Pele_DN144315_c0_g2
Amar_DN64023_c0_g1	Pdum_DN6189_c0_g1
Amar_DN64024_c0_g1	Pele_DN137771_c1_g1
Amar_DN64028_c0_g1	Pdum_DN3768_c0_g1
Amar_DN64047_c0_g1	Pele_DN142664_c1_g1
Amar_DN64062_c0_g1	Pele_DN151375_c3_g1
Amar_DN64073_c0_g1	Pdum_DN4502_c0_g1
Amar_DN64084_c0_g1	Pdum_DN4361_c0_g1
Amar_DN64117_c0_g1	Pele_DN135510_c1_g1
Amar_DN64117_c0_g1	Pele_DN135510_c1_g1
Amar_DN64117_c0_g1	Pele_DN135510_c1_g1
Amar_DN64121_c0_g1	Pdum_DN255237_c0_g1
Amar_DN64176_c0_g1	Pele_DN120786_c0_g1
Amar_DN64237_c0_g1	Pele_DN155333_c0_g2
Amar_DN64240_c0_g1	Pele_DN160712_c27_g3
Amar_DN64247_c0_g1	Pele_DN139024_c0_g2
Amar_DN64286_c0_g1	Pele_DN154295_c2_g1
Amar_DN64286_c0_g1	Pele_DN154295_c2_g1
Amar_DN64286_c0_g1	Pele_DN154295_c2_g1
Amar_DN64302_c0_g1	Pdum_DN145490_c0_g1
Amar_DN64302_c0_g1	Pele_DN149507_c0_g1
Amar_DN64302_c0_g1	Pele_DN149507_c0_g1
Amar_DN64302_c0_g1	Pele_DN149507_c0_g1
Amar_DN64302_c0_g1	Pele_DN149507_c0_g1
Amar_DN64305_c0_g1	Pdum_DN5917_c0_g1
Amar_DN64331_c0_g1	Pdum_DN391_c0_g1
Amar_DN64335_c0_g1	Pdum_DN121_c0_g1
Amar_DN64360_c0_g1	Pdum_DN254265_c0_g1
Amar_DN64360_c0_g1	Pele_DN145312_c1_g10
Amar_DN64371_c0_g1	Pdum_DN261356_c0_g1
Amar_DN64371_c0_g1	Pele_DN147580_c5_g2
Amar_DN64373_c0_g1	Pele_DN124623_c0_g1
Amar_DN64373_c0_g1	Pele_DN124623_c0_g1
Amar_DN64407_c0_g1	Pdum_DN209125_c0_g1
Amar_DN64412_c0_g1	Pele_DN128439_c0_g2
Amar_DN64434_c0_g1	Pdum_DN5463_c0_g1
Amar_DN64447_c0_g1	Pdum_DN21_c2_g1
Amar_DN64447_c0_g1	Pele_DN205789_c0_g1
Amar_DN64455_c0_g1	Pdum_DN143579_c0_g1
Amar_DN64473_c0_g1	Pele_DN347788_c0_g1
Amar_DN64497_c0_g1	Pele_DN160472_c2_g2
Amar_DN64539_c0_g1	Pele_DN326255_c0_g1
Amar_DN64540_c0_g1	Pele_DN146345_c0_g1
Amar_DN64540_c0_g1	Pele_DN146345_c0_g1
Amar_DN6455_c0_g1	Pdum_DN2647_c0_g1
Amar_DN64595_c0_g1	Pele_DN152462_c1_g1
Amar_DN64595_c0_g1	Pele_DN152462_c1_g1
Amar_DN64595_c0_g1	Pele_DN152462_c1_g1
Amar_DN64595_c0_g1	Pele_DN152462_c1_g1
Amar_DN64612_c0_g1	Pele_DN150022_c2_g1
Amar_DN64656_c0_g1	Pele_DN145686_c2_g3
Amar_DN64676_c0_g1	Pdum_DN1610_c0_g1
Amar_DN64676_c0_g1	Pdum_DN1610_c0_g1
Amar_DN64703_c0_g1	Pdum_DN50844_c0_g1
Amar_DN64721_c0_g1	Pele_DN148513_c0_g5
Amar_DN64748_c0_g1	Pele_DN141505_c1_g1
Amar_DN64776_c0_g1	Pele_DN153890_c0_g2
Amar_DN64809_c0_g1	Pele_DN134880_c0_g2
Amar_DN64827_c0_g1	Pdum_DN2789_c0_g1
Amar_DN64827_c0_g1	Pele_DN46673_c0_g1
Amar_DN64832_c0_g1	Pele_DN143765_c1_g2
Amar_DN64852_c0_g1	Pdum_DN209980_c0_g1
Amar_DN64910_c0_g1	Pele_DN147297_c1_g4
Amar_DN64910_c0_g1	Pele_DN147297_c1_g4
Amar_DN64956_c0_g1	Pele_DN155997_c2_g2
Amar_DN64956_c0_g1	Pele_DN155997_c2_g2
Amar_DN65058_c0_g1	Pele_DN139822_c0_g3
Amar_DN6507_c0_g1	Pdum_DN37010_c1_g1
Amar_DN65139_c0_g1	Pdum_DN5654_c0_g1
Amar_DN65156_c0_g1	Pele_DN157604_c0_g9
Amar_DN65156_c0_g1	Pele_DN157604_c0_g9
Amar_DN65156_c0_g1	Pele_DN157604_c0_g9
Amar_DN65189_c0_g1	Pele_DN159380_c0_g2
Amar_DN65190_c0_g1	Pdum_DN5852_c0_g1
Amar_DN65247_c0_g1	Pele_DN159881_c2_g7
Amar_DN65247_c0_g1	Pele_DN159881_c2_g7
Amar_DN65274_c0_g1	Pele_DN276279_c0_g1
Amar_DN65276_c0_g1	Pele_DN149692_c0_g2
Amar_DN65276_c0_g1	Pele_DN149692_c0_g2
Amar_DN65282_c0_g1	Pele_DN158076_c1_g1
Amar_DN65282_c0_g1	Pele_DN158076_c1_g1
Amar_DN65289_c0_g1	Pele_DN146941_c1_g1
Amar_DN65289_c0_g1	Pele_DN146941_c1_g1
Amar_DN65375_c0_g1	Pele_DN114344_c1_g1
Amar_DN65404_c0_g1	Pele_DN153216_c0_g1
Amar_DN65404_c0_g1	Pele_DN153216_c0_g1
Amar_DN65404_c0_g1	Pele_DN153216_c0_g1
Amar_DN65455_c0_g1	Pdum_DN15_c0_g1
Amar_DN65455_c0_g1	Pdum_DN15_c0_g1
Amar_DN65455_c0_g1	Pdum_DN15_c0_g1
Amar_DN65455_c0_g1	Pdum_DN15_c0_g1
Amar_DN65455_c0_g1	Pdum_DN15_c0_g1
Amar_DN65455_c0_g1	Pdum_DN15_c0_g1
Amar_DN65455_c0_g1	Pdum_DN15_c0_g1
Amar_DN65486_c0_g1	Pdum_DN4114_c0_g1
Amar_DN65486_c0_g1	Pdum_DN4114_c0_g1
Amar_DN65486_c0_g1	Pdum_DN4114_c0_g1
Amar_DN65505_c0_g1	Pele_DN43596_c0_g1
Amar_DN65567_c0_g1	Pele_DN160121_c2_g1
Amar_DN65624_c0_g1	Pdum_DN5138_c0_g1
Amar_DN65629_c0_g1	Pele_DN330354_c0_g1
Amar_DN65642_c0_g1	Pdum_DN166483_c0_g1
Amar_DN65645_c0_g1	Pele_DN158856_c0_g17
Amar_DN65676_c0_g1	Pdum_DN9291_c0_g1
Amar_DN65684_c0_g1	Pdum_DN1961_c0_g2
Amar_DN65691_c0_g1	Pele_DN135080_c1_g1
Amar_DN65691_c0_g1	Pele_DN135080_c1_g1
Amar_DN65691_c0_g1	Pele_DN135080_c1_g1
Amar_DN65731_c0_g1	Pele_DN160516_c6_g1
Amar_DN65757_c0_g1	Pele_DN148339_c4_g1
Amar_DN65757_c0_g1	Pele_DN148339_c4_g1
